"Year","Block","Total","index","Distance","avg.index"
2002,1709,19,1.71428571428571,"other",0.552239650630474
2002,1710,9,0.5,"other",0.552239650630474
2002,1711,10,1.5,"other",0.552239650630474
2002,1715,5,-0.545454545454545,"other",0.552239650630474
2002,1722,1,-0.666666666666667,"other",0.552239650630474
2002,1725,3,0,"other",0.552239650630474
2002,1745,62,1.38461538461538,"other",0.552239650630474
2002,1746,48,0.846153846153846,"other",0.552239650630474
2002,1747,2,-0.6,"other",0.552239650630474
2002,1748,2,0,"other",0.552239650630474
2002,1749,10,1,"other",0.552239650630474
2002,1750,18,-0.25,"other",0.552239650630474
2002,1751,9,-0.470588235294118,"other",0.552239650630474
2002,1752,19,5.33333333333333,"other",0.552239650630474
2002,1753,20,0.333333333333333,"other",0.552239650630474
2002,1754,17,0.307692307692308,"other",0.552239650630474
2002,1767,2,-0.833333333333333,"other",0.552239650630474
2002,1769,6,0,"other",0.552239650630474
